cod_IBGE,Município__SINISA,Município__IBGE,Macrorregião__SINISA,Macrorregião__IBGE,UF__SINISA,UF__IBGE
1100023,Ariquemes,Ariquemes,Norte,Norte,RO,Rondônia
1100031,Cabixi,Cabixi,Norte,Norte,RO,Rondônia
1100049,Cacoal,Cacoal,Norte,Norte,RO,Rondônia
1100056,Cerejeiras,Cerejeiras,Norte,Norte,RO,Rondônia
1100064,Colorado do Oeste,Colorado do Oeste,Norte,Norte,RO,Rondônia
1100072,Corumbiara,Corumbiara,Norte,Norte,RO,Rondônia
1100080,Costa Marques,Costa Marques,Norte,Norte,RO,Rondônia
1100098,Espigão D Oeste,Espigão D'Oeste,Norte,Norte,RO,Rondônia
1100106,Guajará-Mirim,Guajará-Mirim,Norte,Norte,RO,Rondônia
1100114,Jaru,Jaru,Norte,Norte,RO,Rondônia
1100122,Ji-Paraná,Ji-Paraná,Norte,Norte,RO,Rondônia
1100130,Machadinho D Oeste,Machadinho D'Oeste,Norte,Norte,RO,Rondônia
1100148,Nova Brasilândia D Oeste,Nova Brasilândia D'Oeste,Norte,Norte,RO,Rondônia
1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,Norte,Norte,RO,Rondônia
1100189,Pimenta Bueno,Pimenta Bueno,Norte,Norte,RO,Rondônia
1100205,Porto Velho,Porto Velho,Norte,Norte,RO,Rondônia
1100254,Presidente Médici,Presidente Médici,Norte,Norte,RO,Rondônia
1100262,Rio Crespo,Rio Crespo,Norte,Norte,RO,Rondônia
1100288,Rolim de Moura,Rolim de Moura,Norte,Norte,RO,Rondônia
1100296,Santa Luzia D Oeste,Santa Luzia D'Oeste,Norte,Norte,RO,Rondônia
1100304,Vilhena,Vilhena,Norte,Norte,RO,Rondônia
1100320,São Miguel do Guaporé,São Miguel do Guaporé,Norte,Norte,RO,Rondônia
1100338,Nova Mamoré,Nova Mamoré,Norte,Norte,RO,Rondônia
1100346,Alvorada D Oeste,Alvorada D'Oeste,Norte,Norte,RO,Rondônia
1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,Norte,Norte,RO,Rondônia
1100403,Alto Paraíso,Alto Paraíso,Norte,Norte,RO,Rondônia
1100452,Buritis,Buritis,Norte,Norte,RO,Rondônia
1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,Norte,Norte,RO,Rondônia
1100601,Cacaulândia,Cacaulândia,Norte,Norte,RO,Rondônia
1100700,Campo Novo de Rondônia,Campo Novo de Rondônia,Norte,Norte,RO,Rondônia
1100809,Candeias do Jamari,Candeias do Jamari,Norte,Norte,RO,Rondônia
1100908,Castanheiras,Castanheiras,Norte,Norte,RO,Rondônia
1100924,Chupinguaia,Chupinguaia,Norte,Norte,RO,Rondônia
1100940,Cujubim,Cujubim,Norte,Norte,RO,Rondônia
1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,Norte,Norte,RO,Rondônia
1101104,Itapuã do Oeste,Itapuã do Oeste,Norte,Norte,RO,Rondônia
1101203,Ministro Andreazza,Ministro Andreazza,Norte,Norte,RO,Rondônia
1101302,Mirante da Serra,Mirante da Serra,Norte,Norte,RO,Rondônia
1101401,Monte Negro,Monte Negro,Norte,Norte,RO,Rondônia
1101435,Nova União,Nova União,Norte,Norte,RO,Rondônia
1101450,Parecis,Parecis,Norte,Norte,RO,Rondônia
1101468,Pimenteiras do Oeste,Pimenteiras do Oeste,Norte,Norte,RO,Rondônia
1101476,Primavera de Rondônia,Primavera de Rondônia,Norte,Norte,RO,Rondônia
1101484,São Felipe D Oeste,São Felipe D'Oeste,Norte,Norte,RO,Rondônia
1101492,São Francisco do Guaporé,São Francisco do Guaporé,Norte,Norte,RO,Rondônia
1101500,Seringueiras,Seringueiras,Norte,Norte,RO,Rondônia
1101559,Teixeirópolis,Teixeirópolis,Norte,Norte,RO,Rondônia
1101609,Theobroma,Theobroma,Norte,Norte,RO,Rondônia
1101708,Urupá,Urupá,Norte,Norte,RO,Rondônia
1101757,Vale do Anari,Vale do Anari,Norte,Norte,RO,Rondônia
1101807,Vale do Paraíso,Vale do Paraíso,Norte,Norte,RO,Rondônia
1200013,Acrelândia,Acrelândia,Norte,Norte,AC,Acre
1200054,Assis Brasil,Assis Brasil,Norte,Norte,AC,Acre
1200104,Brasiléia,Brasiléia,Norte,Norte,AC,Acre
1200138,Bujari,Bujari,Norte,Norte,AC,Acre
1200179,Capixaba,Capixaba,Norte,Norte,AC,Acre
1200203,Cruzeiro do Sul,Cruzeiro do Sul,Norte,Norte,AC,Acre
1200252,Epitaciolândia,Epitaciolândia,Norte,Norte,AC,Acre
