cod_IBGE,Macrorregião,Município,UF,Capital,RM / RIDE,CAD0002,CAD0003,CAD0005,CAD0006,DFE0001,DFE0002,DFE0003,CAD2001,CAD2002,CAD2002A,CAD2003,CAD2004,CAD2004A,CAD2005,CAD2006,GTA0001,GTA0002,GTA0003,GTA0004,GTA0005,GTA0006,GTA0007,GTA0008,GTA0009,GTA0010,GTA0011,GTA0012,GTA0013,GTA0014,GTA0015,GTA0016,GTA0017,GTA0018,GTA0999,GTA1001,GTA1002,GTA1003,GTA1004,GTA1005,GTA1009,GTA1013,GTA1014,GTA1101,GTA1102,GTA1103,GTA1203,GTA1204,GTA1205,GTA1206,GTA1207,GTA1208,GTA1209,GTA1210,GTA1211,GTA1212,GTA1213,GTA1214,GTA1215,GTA1216,GTA1217,GTA1218,GTA1219,GTA1220,GTA1221,GTA1301,GTA1999,GTA3001,GTA3002,GTA3003,GTA3004,GTA3004A,GTA3005,GTA3006,GTA3101,GTA3102,GTA3103,GTA3104,GTA3106,GTA3107,GTA3109,GTA3999
1100023,Norte,Ariquemes,RO,NA,NA,Empresa privada,Local,Águas de Ariquemes Saneamento Ltda,AA,97807,82838,14969,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,16/11/2016,16/11/2046,82838,0,27234,21099,4961,25250,NA,27247,20852,21113,19755,4962,0,0,0,0,0,NA,NA,5318.21,4792.79,525.42,5318.21,5318.21,0,0,5318.21,3,447,NA,0,65.27,17.07,0,82.34,4250,3779.11,389.02,4168.13,1352.01,234.95,1586.96,NA,NA,NA,1067.74,3779.11,0,4168.14,4184,NA,4,2254,0,NA,NA,0,NA,2254,258,227,251,1442,1349,Sim,NA
1100031,Norte,Cabixi,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,5404,2305,3099,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,2305,0,925,901,398,0,0,947,885,923,862,404,365,117,0,0,0,1219,NA,282.33,282.33,0,0,0,0,0,282.33,0.6,33.8,10,0,0,0,0,0,151,126.05,14.6,140.65,122.36,14.44,136.8,10.81,1.41,12.22,129.46,146.91,0,163.82,163.25,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",2,1894,365,Outro (especificar),O sistema opera 18 h por dia sendo suficiente para o abastecimento da população,345655,0,22,91,95,75,29,29,Sim,Nem todo o vazamento reparado foi proveniente de uma reclamação
1100049,Norte,Cacoal,RO,NA,NA,Autarquia,Local,Serviço Autônomo de Água e Esgoto de Cacoal,SAAE Cacoal,87764,69163,18601,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,03/07/1984,NA,69163,0,28356,28149,4348,32395,NA,29824,28139,29824,1390,0,0,NA,0,0,NA,NA,NA,8450,7975,0,0,7975,0,0,8450,2,425,NA,0,475,5,0,480,3300,4089.55,1722.43,5811.98,3990,1302,5292,NA,NA,NA,2158.02,4089.55,0,5811.98,5406,NA,234,252000,0,NA,NA,0,2,351,234,107,107,953,905,Sim,NA
1100056,Norte,Cerejeiras,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,16048,13588,2460,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,10881,0,3967,3608,1510,0,0,4045,3681,3683,3330,1592,1352,1062,0,0,0,5927,NA,880.5,880.5,0,0,0,0,0,880.5,2.51,107.1,12,0,0,0,0,0,971,459.01,61.94,520.95,409.06,59.88,468.94,40.97,4.4,45.37,314.18,554.05,0,631.02,466.37,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",1,4045,0,NA,NA,0,0,36,486,486,870,150,150,Sim,NA
1100064,Norte,Colorado do Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,15818,11620,4198,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,15/07/2011,15/01/2041,11620,0,5171,4531,1048,0,0,5411,5058,4751,4439,1088,933,140,0,0,0,8229,NA,1756.8,1756.8,0,0,0,0,0,1756.8,0.07,135.32,10,0,0,0,0,0,890,684.35,74.39,758.74,635.07,67.62,702.69,55.36,8.78,64.14,933.92,805.3,0,892.28,1245.5,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",4,21644,0,NA,NA,0,0,87,1495,1649,838,71,65,Sim,Nem todo o vazamento reparado foi proveniente de uma reclamação
1100072,Norte,Corumbiara,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,7593,2239,5354,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,10/09/2015,10/09/2025,2239,0,895,779,266,0,0,908,815,791,703,268,241,167,0,0,0,3958,NA,232.2,232.2,0,0,0,0,0,232.2,3.69,21.14,12,0,0,0,0,0,111,102.05,16.99,119.04,88.57,16.43,105,9.67,1.16,10.83,102.33,120.07,0,140.96,132.52,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",0,0,0,NA,NA,0,0,2,18,18,40,46,46,Sim,NA
1100080,Norte,Costa Marques,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,12753,6990,5763,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,11/09/2014,11/09/2044,3115,0,1030,904,1131,0,0,1035,907,1033,905,1172,1006,724,0,0,0,5900,NA,460.8,460.8,0,0,0,0,0,460.8,0.52,50.06,8,0,0,0,0,0,174,135.15,29.19,164.34,134.95,29.18,164.13,13.03,2.3,15.33,281.13,154.75,0,190.12,176.2,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",0,0,0,NA,NA,0,0,29,114,114,171,52,52,Sim,NA
1100098,Norte,Espigão D Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,29709,21313,8396,Sem delegação atendendo Sede e Localidades - SDSL,NA,NA,Integral,NA,NA,NA,NA,16231,232,5600,5115,565,0,0,5797,5279,5796,5278,599,489,2239,83,76,170,13287,NA,1029.6,1029.6,0,0,0,0,0,1029.6,0.06,125.79,10,0,0,0,0,0,637,731.94,75.52,807.46,730.37,75.34,805.71,56.95,5.14,62.09,160.05,854.11,0,952.09,963.81,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",80,470400,0,NA,NA,0,2,80,141,141,211,195,195,Sim,NA
1100106,Norte,Guajará-Mirim,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,39779,33621,6158,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,21/05/2015,21/05/2045,17740,276,5263,5255,3667,0,0,5376,4873,5368,4866,4011,3283,1581,97,89,85,16074,NA,1851.44,1851.44,0,0,0,0,0,1851.44,10.65,134.4,10,0,0,0,0,0,1881,714.94,115.29,830.23,712.69,115.06,827.75,63.84,9.26,73.1,948.11,835.43,0,974.93,1067.54,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",5,27365,0,NA,NA,0,0,125,1133,1133,1699,574,574,Sim,NA
1100114,Norte,Jaru,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,51096,34504,16592,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,18/05/2012,18/05/2042,28108,0,10102,9860,2849,0,0,10567,9758,10322,9523,3058,2658,5279,0,0,0,16413,NA,2203.2,2203.2,0,0,0,0,0,2203.2,3.21,421.86,5,0,0,0,0,0,1530,1102.95,128.48,1231.43,884.56,119.69,1004.25,95.13,11.02,106.15,865.62,1389.43,0,1555.15,1352.93,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",56,591752,365,Insuficiência de sistema de produção,NA,1825000,0,1063,215,215,108,791,791,Sim,NA
1100122,Norte,Ji-Paraná,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,125583,112927,12656,Sem delegação atendendo Sede e Localidades - SDSL,NA,NA,Integral,NA,NA,NA,NA,85351,1061,29063,28369,8679,0,0,31037,28879,30323,28232,9955,8650,10219,419,386,323,57076,NA,9123.84,9123.84,0,0,0,0,0,9123.84,1.07,430.89,10,0,0,0,0,0,6175,4226.34,467.24,4693.58,3889.57,439.67,4329.24,384.1,45.62,429.72,4000.54,5067.62,0,5620.73,4853.35,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",0,0,0,NA,NA,0,0,1021,3321,3321,2767,1268,1045,Sim,NA
1100130,Norte,Machadinho D Oeste,RO,NA,NA,Sociedade de economia mista,Regional,Companhia de Águas e Esgotos do Estado de Rondônia,CAERD,31014,16110,14904,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante contrato de programa,NA,Integral,Contrato de Programa,NA,13/07/2011,13/07/2041,13867,0,4563,4407,1939,0,0,4935,4547,4777,4401,2084,1789,727,0,0,0,15174,NA,1305.72,1305.72,0,0,0,0,0,1305.72,5,79.2,10,0,0,0,0,0,450,602.18,69.69,671.87,559.08,64.97,624.05,51.4,6.53,57.93,575.92,711.08,0,795.94,782.81,"Seguindo a orientação do Sinisa,  no email de 30Ago, a informação que não existe no sistema  foi zerada",36,177660,365,Insuficiência de sistema de produção,NA,900455,2,594,625,625,56250,203,203,Sim,NA
1100148,Norte,Nova Brasilândia D Oeste,RO,NA,NA,Autarquia,Local,Serviço Autônomo de Água e Esgoto de Nova Brasilândia D'Oeste,SAAE,15833,6676,9157,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,01/10/2022,NA,6350,0,3022,2084,84,0,15,3022,2938,2477,2271,84,84,15,0,0,0,3200,NA,804.2,804.2,0,0,0,0,0,804.2,650,20,NA,0,39.54,0,0,39.54,450,402.1,84,486.1,333.09,84,417.09,47.45,5,52.45,226.11,0,0,438.2,130,NA,0,0,0,NA,NA,0,NA,88,200,200,60,97,97,Sim,NA
