cod_IBGE,Município,UF,Macrorregião
1100015,Alta Floresta D'Oeste,Rondônia,Norte
1100379,Alto Alegre dos Parecis,Rondônia,Norte
1100403,Alto Paraíso,Rondônia,Norte
1100346,Alvorada D'Oeste,Rondônia,Norte
1100023,Ariquemes,Rondônia,Norte
1100452,Buritis,Rondônia,Norte
1100031,Cabixi,Rondônia,Norte
1100601,Cacaulândia,Rondônia,Norte
1100049,Cacoal,Rondônia,Norte
1100700,Campo Novo de Rondônia,Rondônia,Norte
1100809,Candeias do Jamari,Rondônia,Norte
1100908,Castanheiras,Rondônia,Norte
1100056,Cerejeiras,Rondônia,Norte
1100924,Chupinguaia,Rondônia,Norte
1100064,Colorado do Oeste,Rondônia,Norte
1100072,Corumbiara,Rondônia,Norte
1100080,Costa Marques,Rondônia,Norte
1100940,Cujubim,Rondônia,Norte
1100098,Espigão D'Oeste,Rondônia,Norte
1101005,Governador Jorge Teixeira,Rondônia,Norte
1100106,Guajará-Mirim,Rondônia,Norte
1101104,Itapuã do Oeste,Rondônia,Norte
1100114,Jaru,Rondônia,Norte
1100122,Ji-Paraná,Rondônia,Norte
1100130,Machadinho D'Oeste,Rondônia,Norte
1101203,Ministro Andreazza,Rondônia,Norte
1101302,Mirante da Serra,Rondônia,Norte
1101401,Monte Negro,Rondônia,Norte
1100148,Nova Brasilândia D'Oeste,Rondônia,Norte
1100338,Nova Mamoré,Rondônia,Norte
1101435,Nova União,Rondônia,Norte
1100502,Novo Horizonte do Oeste,Rondônia,Norte
1100155,Ouro Preto do Oeste,Rondônia,Norte
1101450,Parecis,Rondônia,Norte
1100189,Pimenta Bueno,Rondônia,Norte
1101468,Pimenteiras do Oeste,Rondônia,Norte
1100205,Porto Velho,Rondônia,Norte
1100254,Presidente Médici,Rondônia,Norte
1101476,Primavera de Rondônia,Rondônia,Norte
1100262,Rio Crespo,Rondônia,Norte
1100288,Rolim de Moura,Rondônia,Norte
1100296,Santa Luzia D'Oeste,Rondônia,Norte
1101484,São Felipe D'Oeste,Rondônia,Norte
1101492,São Francisco do Guaporé,Rondônia,Norte
1100320,São Miguel do Guaporé,Rondônia,Norte
1101500,Seringueiras,Rondônia,Norte
1101559,Teixeirópolis,Rondônia,Norte
1101609,Theobroma,Rondônia,Norte
1101708,Urupá,Rondônia,Norte
1101757,Vale do Anari,Rondônia,Norte
1101807,Vale do Paraíso,Rondônia,Norte
1100304,Vilhena,Rondônia,Norte
1200013,Acrelândia,Acre,Norte
1200054,Assis Brasil,Acre,Norte
1200104,Brasiléia,Acre,Norte
1200138,Bujari,Acre,Norte
1200179,Capixaba,Acre,Norte
1200203,Cruzeiro do Sul,Acre,Norte
1200252,Epitaciolândia,Acre,Norte
1200302,Feijó,Acre,Norte
1200328,Jordão,Acre,Norte
1200336,Mâncio Lima,Acre,Norte
1200344,Manoel Urbano,Acre,Norte
1200351,Marechal Thaumaturgo,Acre,Norte
1200385,Plácido de Castro,Acre,Norte
1200807,Porto Acre,Acre,Norte
1200393,Porto Walter,Acre,Norte
1200401,Rio Branco,Acre,Norte
1200427,Rodrigues Alves,Acre,Norte
1200435,Santa Rosa do Purus,Acre,Norte
1200500,Sena Madureira,Acre,Norte
1200450,Senador Guiomard,Acre,Norte
1200609,Tarauacá,Acre,Norte
1200708,Xapuri,Acre,Norte
1300029,Alvarães,Amazonas,Norte
1300060,Amaturá,Amazonas,Norte
1300086,Anamã,Amazonas,Norte
1300102,Anori,Amazonas,Norte
1300144,Apuí,Amazonas,Norte
1300201,Atalaia do Norte,Amazonas,Norte
1300300,Autazes,Amazonas,Norte
1300409,Barcelos,Amazonas,Norte
1300508,Barreirinha,Amazonas,Norte
1300607,Benjamin Constant,Amazonas,Norte
1300631,Beruri,Amazonas,Norte
1300680,Boa Vista do Ramos,Amazonas,Norte
1300706,Boca do Acre,Amazonas,Norte
1300805,Borba,Amazonas,Norte
1300839,Caapiranga,Amazonas,Norte
1300904,Canutama,Amazonas,Norte
1301001,Carauari,Amazonas,Norte
1301100,Careiro,Amazonas,Norte
1301159,Careiro da Várzea,Amazonas,Norte
1301209,Coari,Amazonas,Norte
1301308,Codajás,Amazonas,Norte
1301407,Eirunepé,Amazonas,Norte
1301506,Envira,Amazonas,Norte
1301605,Fonte Boa,Amazonas,Norte
1301654,Guajará,Amazonas,Norte
1301704,Humaitá,Amazonas,Norte
1301803,Ipixuna,Amazonas,Norte
1301852,Iranduba,Amazonas,Norte
1301902,Itacoatiara,Amazonas,Norte
1301951,Itamarati,Amazonas,Norte
1302009,Itapiranga,Amazonas,Norte
1302108,Japurá,Amazonas,Norte
1302207,Juruá,Amazonas,Norte
1302306,Jutaí,Amazonas,Norte
1302405,Lábrea,Amazonas,Norte
1302504,Manacapuru,Amazonas,Norte
1302553,Manaquiri,Amazonas,Norte
1302603,Manaus,Amazonas,Norte
1302702,Manicoré,Amazonas,Norte
1302801,Maraã,Amazonas,Norte
1302900,Maués,Amazonas,Norte
1303007,Nhamundá,Amazonas,Norte
1303106,Nova Olinda do Norte,Amazonas,Norte
1303205,Novo Airão,Amazonas,Norte
1303304,Novo Aripuanã,Amazonas,Norte
1303403,Parintins,Amazonas,Norte
1303502,Pauini,Amazonas,Norte
1303536,Presidente Figueiredo,Amazonas,Norte
1303569,Rio Preto da Eva,Amazonas,Norte
1303601,Santa Isabel do Rio Negro,Amazonas,Norte
1303700,Santo Antônio do Içá,Amazonas,Norte
1303809,São Gabriel da Cachoeira,Amazonas,Norte
1303908,São Paulo de Olivença,Amazonas,Norte
1303957,São Sebastião do Uatumã,Amazonas,Norte
1304005,Silves,Amazonas,Norte
1304062,Tabatinga,Amazonas,Norte
1304104,Tapauá,Amazonas,Norte
1304203,Tefé,Amazonas,Norte
1304237,Tonantins,Amazonas,Norte
1304260,Uarini,Amazonas,Norte
1304302,Urucará,Amazonas,Norte
1304401,Urucurituba,Amazonas,Norte
1400050,Alto Alegre,Roraima,Norte
1400027,Amajari,Roraima,Norte
1400100,Boa Vista,Roraima,Norte
1400159,Bonfim,Roraima,Norte
1400175,Cantá,Roraima,Norte
1400209,Caracaraí,Roraima,Norte
1400233,Caroebe,Roraima,Norte
1400282,Iracema,Roraima,Norte
1400308,Mucajaí,Roraima,Norte
1400407,Normandia,Roraima,Norte
1400456,Pacaraima,Roraima,Norte
1400472,Rorainópolis,Roraima,Norte
1400506,São João da Baliza,Roraima,Norte
1400605,São Luiz,Roraima,Norte
1400704,Uiramutã,Roraima,Norte
1500107,Abaetetuba,Pará,Norte
1500131,Abel Figueiredo,Pará,Norte
1500206,Acará,Pará,Norte
1500305,Afuá,Pará,Norte
1500347,Água Azul do Norte,Pará,Norte
1500404,Alenquer,Pará,Norte
1500503,Almeirim,Pará,Norte
1500602,Altamira,Pará,Norte
1500701,Anajás,Pará,Norte
1500800,Ananindeua,Pará,Norte
1500859,Anapu,Pará,Norte
1500909,Augusto Corrêa,Pará,Norte
1500958,Aurora do Pará,Pará,Norte
1501006,Aveiro,Pará,Norte
1501105,Bagre,Pará,Norte
1501204,Baião,Pará,Norte
1501253,Bannach,Pará,Norte
1501303,Barcarena,Pará,Norte
1501402,Belém,Pará,Norte
1501451,Belterra,Pará,Norte
1501501,Benevides,Pará,Norte
1501576,Bom Jesus do Tocantins,Pará,Norte
1501600,Bonito,Pará,Norte
1501709,Bragança,Pará,Norte
1501725,Brasil Novo,Pará,Norte
1501758,Brejo Grande do Araguaia,Pará,Norte
1501782,Breu Branco,Pará,Norte
1501808,Breves,Pará,Norte
1501907,Bujaru,Pará,Norte
1502004,Cachoeira do Arari,Pará,Norte
1501956,Cachoeira do Piriá,Pará,Norte
1502103,Cametá,Pará,Norte
1502152,Canaã dos Carajás,Pará,Norte
1502202,Capanema,Pará,Norte
1502301,Capitão Poço,Pará,Norte
1502400,Castanhal,Pará,Norte
1502509,Chaves,Pará,Norte
1502608,Colares,Pará,Norte
1502707,Conceição do Araguaia,Pará,Norte
1502756,Concórdia do Pará,Pará,Norte
1502764,Cumaru do Norte,Pará,Norte
1502772,Curionópolis,Pará,Norte
1502806,Curralinho,Pará,Norte
1502855,Curuá,Pará,Norte
1502905,Curuçá,Pará,Norte
1502939,Dom Eliseu,Pará,Norte
1502954,Eldorado do Carajás,Pará,Norte
1503002,Faro,Pará,Norte
1503044,Floresta do Araguaia,Pará,Norte
1503077,Garrafão do Norte,Pará,Norte
1503093,Goianésia do Pará,Pará,Norte
1503101,Gurupá,Pará,Norte
1503200,Igarapé-Açu,Pará,Norte
1503309,Igarapé-Miri,Pará,Norte
1503408,Inhangapi,Pará,Norte
1503457,Ipixuna do Pará,Pará,Norte
1503507,Irituia,Pará,Norte
1503606,Itaituba,Pará,Norte
1503705,Itupiranga,Pará,Norte
1503754,Jacareacanga,Pará,Norte
1503804,Jacundá,Pará,Norte
1503903,Juruti,Pará,Norte
1504000,Limoeiro do Ajuru,Pará,Norte
1504059,Mãe do Rio,Pará,Norte
1504109,Magalhães Barata,Pará,Norte
1504208,Marabá,Pará,Norte
1504307,Maracanã,Pará,Norte
1504406,Marapanim,Pará,Norte
1504422,Marituba,Pará,Norte
1504455,Medicilândia,Pará,Norte
1504505,Melgaço,Pará,Norte
1504604,Mocajuba,Pará,Norte
1504703,Moju,Pará,Norte
1504752,Mojuí dos Campos,Pará,Norte
1504802,Monte Alegre,Pará,Norte
1504901,Muaná,Pará,Norte
1504950,Nova Esperança do Piriá,Pará,Norte
1504976,Nova Ipixuna,Pará,Norte
1505007,Nova Timboteua,Pará,Norte
1505031,Novo Progresso,Pará,Norte
1505064,Novo Repartimento,Pará,Norte
1505106,Óbidos,Pará,Norte
1505205,Oeiras do Pará,Pará,Norte
1505304,Oriximiná,Pará,Norte
1505403,Ourém,Pará,Norte
1505437,Ourilândia do Norte,Pará,Norte
1505486,Pacajá,Pará,Norte
1505494,Palestina do Pará,Pará,Norte
1505502,Paragominas,Pará,Norte
1505536,Parauapebas,Pará,Norte
1505551,Pau D'Arco,Pará,Norte
1505601,Peixe-Boi,Pará,Norte
1505635,Piçarra,Pará,Norte
1505650,Placas,Pará,Norte
1505700,Ponta de Pedras,Pará,Norte
1505809,Portel,Pará,Norte
