name,low,q1,median,q3,high,n
IAG0001,0,51.06966340777084,70.21036814425244,87.46099958792017,100,5213
IAG0002,0,90.85282465346621,99.84688759097372,100,100,5206
IAG0003,0,0,1.8534262880462509,34.92798353909465,100,5157
IAG2001,0,43.04206123213755,63.403542720258336,74.783945611528,850.3091190108156,4870
IAG2002,0,88.50935571380975,99.28777841253853,100,100.47063060899842,5080
IAG2003,0,10.590482230485948,99.3171450850378,100,171.20966573118832,5082
IAG2010,0,55.953877073042385,69.58720675861005,78.81558188570196,1862.3647604327587,4870
IAG2011,0,57.32200427203069,72.77871633002127,84.62312171929287,521.9953405509112,4890
IAG2012,-421.9953405509113,15.376878280707132,27.22128366997874,42.67799572796931,100,4890
IAG2013,0,20.85837628648751,29.8061927974802,43.54399012668204,100,4846
IAG2016,0,0,44.546420119750934,100,106.396255850234,5232
IAG2023,0,0.4712374998889647,0.7337803072284002,1.1420714635491942,52422.00557103064,4890
IAG3001,0.2,164.0625,875.6666666666667,2455.24358974359,18053666.666666668,3294
IAG3002,0.05555555555555555,83.72173913043478,261.3813576702215,1168.0705128205127,24366500,1822
IAG3003,0,1.5,4,17.639356435643563,723.8181818181819,5011
IAG3006,0,87.60577482074801,100,100,7542.857142857143,5184
